x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.625610,0.751724,0.326767,1.031142,90550.421134,2001-01-01 19:09:10.421 -0600
0.395599,0.378601,0.345673,0.647555,90550.391349,2001-01-01 19:09:10.391 -0600
0.372833,0.395645,0.200790,0.579531,90550.361442,2001-01-01 19:09:10.361 -0600
0.677414,0.488190,-0.159485,0.850091,90550.331657,2001-01-01 19:09:10.332 -0600
0.777985,0.854324,-0.293686,1.192217,90550.301750,2001-01-01 19:09:10.302 -0600
0.428314,1.081146,-0.199585,1.179900,90550.271964,2001-01-01 19:09:10.272 -0600
0.404816,0.921387,-0.215134,1.029132,90550.242057,2001-01-01 19:09:10.242 -0600
0.547394,0.624939,-0.343002,0.898799,90550.212272,2001-01-01 19:09:10.212 -0600
0.386566,0.773560,-0.394531,0.950517,90550.182365,2001-01-01 19:09:10.182 -0600
0.126785,1.029739,-0.182220,1.053395,90550.152610,2001-01-01 19:09:10.153 -0600
0.205933,1.147400,-0.014999,1.165830,90550.122703,2001-01-01 19:09:10.123 -0600
0.541794,1.084671,0.206131,1.229854,90550.092918,2001-01-01 19:09:10.093 -0600
0.938217,1.013947,0.550354,1.487020,90550.063011,2001-01-01 19:09:10.063 -0600
1.270264,0.820847,0.815460,1.718236,90550.033225,2001-01-01 19:09:10.033 -0600
1.051010,0.270233,0.962601,1.450603,90550.003318,2001-01-01 19:09:10.003 -0600
0.717743,0.352234,0.749985,1.096221,90549.973533,2001-01-01 19:09:09.974 -0600
0.425095,0.525787,0.422379,0.797221,90549.943626,2001-01-01 19:09:09.944 -0600
0.385971,0.720200,0.072754,0.820338,90549.913841,2001-01-01 19:09:09.914 -0600
0.532776,1.031296,-0.225616,1.182507,90549.883933,2001-01-01 19:09:09.884 -0600
0.682739,1.321960,-0.343674,1.527031,90549.854148,2001-01-01 19:09:09.854 -0600
0.610550,1.250443,-0.323120,1.428560,90549.824277,2001-01-01 19:09:09.824 -0600
0.404449,0.899719,-0.201416,1.006798,90549.794492,2001-01-01 19:09:09.794 -0600
0.291809,0.709076,-0.082886,0.771240,90549.764585,2001-01-01 19:09:09.765 -0600
0.307785,0.622498,0.034698,0.695298,90549.734800,2001-01-01 19:09:09.735 -0600
0.377792,0.707733,0.061203,0.804586,90549.704892,2001-01-01 19:09:09.705 -0600
0.556763,0.842590,0.049316,1.011126,90549.675107,2001-01-01 19:09:09.675 -0600
0.628952,0.878021,0.027618,1.080400,90549.645200,2001-01-01 19:09:09.645 -0600
0.493271,0.806458,0.079910,0.948723,90549.615415,2001-01-01 19:09:09.615 -0600
0.302460,0.719223,0.155304,0.795539,90549.585508,2001-01-01 19:09:09.586 -0600
0.358444,0.654892,0.119949,0.756144,90549.555722,2001-01-01 19:09:09.556 -0600
0.642029,0.676880,0.016479,0.933080,90549.525815,2001-01-01 19:09:09.526 -0600
